cell_id,checkpoint,component,ecology,mean_accuracy
C4,0,3,V31_FRESH,0.4817708333333333
C4,16,1,V31_FRESH,0.52734375
C4,16,2,V31_FRESH,0.5716145833333334
C4,16,3,V31_FRESH,0.5143229166666666
C4,32,1,V31_FRESH,0.5690104166666666
C4,32,2,V31_FRESH,0.5859375
C4,32,3,V31_FRESH,0.51953125
C4,64,1,V31_FRESH,0.5729166666666666
C4,64,2,V31_FRESH,0.6015625
C4,64,3,V31_FRESH,0.56640625
C4,128,1,V31_FRESH,0.5703125
C4,128,2,V31_FRESH,0.6315104166666666
C4,128,3,V31_FRESH,0.5338541666666666
C5,0,1,V31_FRESH,0.4856770833333333
C5,0,2,V31_FRESH,0.546875
C5,0,3,V31_FRESH,0.4817708333333333
C5,16,1,V31_FRESH,0.5559895833333334
C5,16,2,V31_FRESH,0.59765625
C5,16,3,V31_FRESH,0.5260416666666666
C5,32,1,V31_FRESH,0.5859375
C5,32,2,V31_FRESH,0.5911458333333334
C5,32,3,V31_FRESH,0.5455729166666666
C5,64,1,V31_FRESH,0.5768229166666666
C5,64,2,V31_FRESH,0.6393229166666666
C5,64,3,V31_FRESH,0.55859375
C5,128,1,V31_FRESH,0.5794270833333334
C5,128,2,V31_FRESH,0.6341145833333334
C5,128,3,V31_FRESH,0.5559895833333334
C6,0,1,V31_FRESH,0.4856770833333333
C6,0,2,V31_FRESH,0.546875
C6,0,3,V31_FRESH,0.4817708333333333
C6,16,1,V31_FRESH,0.6080729166666666
C6,16,2,V31_FRESH,0.63671875
C6,16,3,V31_FRESH,0.5677083333333334
C6,32,1,V31_FRESH,0.60546875
C6,32,2,V31_FRESH,0.6145833333333334
C6,32,3,V31_FRESH,0.5690104166666666
C6,64,1,V31_FRESH,0.5768229166666666
C6,64,2,V31_FRESH,0.66796875
C6,64,3,V31_FRESH,0.5559895833333334
C6,128,1,V31_FRESH,0.6002604166666666
C6,128,2,V31_FRESH,0.6067708333333334
C6,128,3,V31_FRESH,0.5703125
C7,0,1,V31_FRESH,0.4856770833333333
C7,0,2,V31_FRESH,0.546875
C7,0,3,V31_FRESH,0.4817708333333333
C7,16,1,V31_FRESH,0.5859375
C7,16,2,V31_FRESH,0.6666666666666666
C7,16,3,V31_FRESH,0.6015625
C7,32,1,V31_FRESH,0.6393229166666666
C7,32,2,V31_FRESH,0.6458333333333334
C7,32,3,V31_FRESH,0.6041666666666666
C7,64,1,V31_FRESH,0.5625
C7,64,2,V31_FRESH,0.6549479166666666
C7,64,3,V31_FRESH,0.52734375
C7,128,1,V31_FRESH,0.5338541666666666
C7,128,2,V31_FRESH,0.60546875
C7,128,3,V31_FRESH,0.6015625
C0,0,1,AFFINE_BOOLEAN_V1,0.4713541666666667
C0,0,2,AFFINE_BOOLEAN_V1,0.50390625
C0,0,3,AFFINE_BOOLEAN_V1,0.51953125
C0,16,1,AFFINE_BOOLEAN_V1,0.5065104166666666
C0,16,2,AFFINE_BOOLEAN_V1,0.5260416666666666
C0,16,3,AFFINE_BOOLEAN_V1,0.5403645833333334
C0,32,1,AFFINE_BOOLEAN_V1,0.5299479166666666
C0,32,2,AFFINE_BOOLEAN_V1,0.52734375
C0,32,3,AFFINE_BOOLEAN_V1,0.5078125
C0,64,1,AFFINE_BOOLEAN_V1,0.5481770833333334
C0,64,2,AFFINE_BOOLEAN_V1,0.5247395833333334
C0,64,3,AFFINE_BOOLEAN_V1,0.4609375
C0,128,1,AFFINE_BOOLEAN_V1,0.52734375
C0,128,2,AFFINE_BOOLEAN_V1,0.5325520833333334
C0,128,3,AFFINE_BOOLEAN_V1,0.5286458333333334
