beta,cell_id,ecology,epsilon,g_excess_obs,g_excess_obs_joint,g_obs,g_obs_joint,k,psi_bit_0,psi_bit_128,psi_bit_16,psi_bit_32,psi_bit_64,psi_joint_0,psi_joint_128,psi_joint_16,psi_joint_32,psi_joint_64,q_share,seed
20.0,C4,V31_FRESH,0.1,0.005036652201240905,-0.03853481987213105,0.014042527001931152,-0.006870447232936713,8,0.003858778211805556,0.027859157986111115,0.010579427083333332,0.013156467013888888,0.020731608072916668,0.00537109375,0.01611328125,0.02392578125,0.01324462890625,0.015625,0.0,98103
16.0,C5,V31_FRESH,0.55,0.017091429731468242,-0.0060939554923944775,0.02609730453215849,0.025570417146799862,8,0.003858778211805556,0.006625705295138889,0.007161458333333332,0.015197753906249997,0.026801215277777783,0.00537109375,0.0078125,0.01129150390625,0.020751953125,0.04010009765625,0.0,98103
12.0,C6,V31_FRESH,0.1,-0.024665661246447295,-0.022136098760120827,-0.015659786445757048,0.00952827387907351,8,0.003858778211805556,0.006517198350694442,0.003363715277777778,0.007948133680555556,0.00198025173611111,0.00537109375,0.007080078125,0.005859375,0.00689697265625,0.00927734375,0.5,98103
12.0,C7,V31_FRESH,0.1,-0.000850603403696755,-0.03231793322653587,0.008155271396993492,-0.0006535605873415242,8,0.003858778211805556,0.0031738281250000017,0.002610948350694445,0.0019056532118055562,0.0035332573784722207,0.00537109375,0.00543212890625,0.016845703125,0.00836181640625,0.01422119140625,1.0,98103
0.0,C0,V31_FRESH,0.1,0.0,0.0,0.0070293502471772025,-0.024238017700148058,8,0.002224392361111111,0.007676866319444444,0.005723741319444444,0.009847005208333336,0.008741590711805556,0.00152587890625,0.01617431640625,0.02294921875,0.01806640625,0.00738525390625,0.0,98104
4.0,C1,V31_FRESH,0.1,-0.0026717790712911787,0.02811840546023813,0.004357571175886024,0.0038803877600900715,8,0.002224392361111111,0.003200954861111111,0.014539930555555552,0.0025566948784722233,0.012485080295138893,0.00152587890625,0.0078125,0.016845703125,0.00494384765625,0.01568603515625,0.0,98104
8.0,C2,V31_FRESH,0.1,0.003951552515428404,0.048888362739296906,0.010980902762605606,0.02465034503914885,8,0.002224392361111111,0.008490668402777778,0.008436414930555556,0.010986328125,0.014546712239583332,0.00152587890625,0.02886962890625,0.013671875,0.015380859375,0.042236328125,0.0,98104
12.0,C3,V31_FRESH,0.1,0.010143905195961096,0.04390363956843803,0.0171732554431383,0.019665621868289965,8,0.002224392361111111,0.009989420572916668,0.008219401041666666,0.009067111545138888,0.018093532986111112,0.00152587890625,0.01373291015625,0.0078125,0.0244140625,0.023681640625,0.0,98104
20.0,C4,V31_FRESH,0.1,-0.02989792617105488,0.019957403660083507,-0.022868575923877678,-0.004280614040064553,8,0.002224392361111111,0.011942545572916668,0.014133029513888888,0.011121961805555556,0.004835340711805557,0.00152587890625,0.01959228515625,0.01171875,0.01763916015625,0.010498046875,0.0,98104
16.0,C5,V31_FRESH,0.55,-0.004635501028871704,0.025629419200245886,0.002393849218305499,0.0013914015000978267,8,0.002224392361111111,0.0033162434895833343,0.00857883029513889,0.00857204861111111,0.009548611111111112,0.00152587890625,0.01129150390625,0.01275634765625,0.02197265625,0.01513671875,0.0,98104
12.0,C6,V31_FRESH,0.1,0.00439332005114643,0.026631804935215487,0.011422670298323633,0.0023937872350674296,8,0.002224392361111111,0.007839626736111112,0.004069010416666667,0.0011461046006944445,0.005269368489583331,0.00152587890625,0.01806640625,0.01129150390625,0.001953125,0.00885009765625,0.5,98104
12.0,C7,V31_FRESH,0.1,-0.012826626899444468,0.02188196666065428,-0.005797276652267265,-0.0023560510394937777,8,0.002224392361111111,0.0016343858506944438,0.0014173719618055553,0.0017971462673611106,0.0011461046006944445,0.00152587890625,0.005126953125,0.00543212890625,0.00689697265625,0.005126953125,1.0,98104
0.0,C0,V31_FRESH,0.1,0.0,0.0,0.004718676210466648,0.003820253627926358,8,0.0018446180555555555,0.007873535156249998,0.009284125434027778,0.010823567708333332,0.011827256944444444,0.00299072265625,0.01959228515625,0.009033203125,0.0126953125,0.011474609375,0.0,98105
4.0,C1,V31_FRESH,0.1,0.00273643464364794,0.0030875129659851132,0.007455110854114588,0.006907766593911471,8,0.0018446180555555555,0.00792778862847222,0.005316840277777779,0.004130045572916667,0.007059733072916666,0.00299072265625,0.01226806640625,0.005615234375,0.01519775390625,0.00933837890625,0.0,98105
8.0,C2,V31_FRESH,0.1,-0.03569480110555397,-0.02417334478901167,-0.03097612489508732,-0.020353091161085312,8,0.0018446180555555555,0.01888699001736111,0.01644558376736111,0.005377875434027779,0.003282335069444444,0.00299072265625,0.0224609375,0.014404296875,0.010498046875,0.00543212890625,0.0,98105
12.0,C3,V31_FRESH,0.1,-0.02046832850206076,0.011746651078718752,-0.01574965229159411,0.01556690470664511,8,0.0018446180555555555,0.007703993055555556,0.008897569444444444,0.01426866319444445,0.004828559027777777,0.00299072265625,0.013916015625,0.004638671875,0.02691650390625,0.01324462890625,0.0,98105
20.0,C4,V31_FRESH,0.1,-0.004218925908301799,0.0030326838220182096,0.0004997503021648487,0.006852937449944568,8,0.0018446180555555555,0.029195149739583332,0.007493760850694443,0.014926486545138888,0.00879584418402778,0.00299072265625,0.03076171875,0.0078125,0.01953125,0.01275634765625,0.0,98105
16.0,C5,V31_FRESH,0.55,-0.038257916449346445,-0.036400018371374084,-0.033539240238879796,-0.032579764743447724,8,0.0018446180555555555,0.017313639322916668,0.010206434461805552,0.014865451388888888,0.0024481879340277762,0.00299072265625,0.017333984375,0.019775390625,0.03424072265625,0.005126953125,0.0,98105
12.0,C6,V31_FRESH,0.1,-0.026689627854171165,-0.026509435403126558,-0.021970951643704516,-0.0226891817752002,8,0.0018446180555555555,0.009412977430555554,0.006842719184027776,0.013678656684027778,0.002936469184027778,0.00299072265625,0.01666259765625,0.01513671875,0.033203125,0.00640869140625,0.5,98105
12.0,C7,V31_FRESH,0.1,-0.0030316923085679046,-0.005414902246554943,0.0016869839018987434,-0.001594648618628585,8,0.0018446180555555555,0.0008680555555555555,0.003479003906250001,0.0020141601562500004,0.0033637152777777793,0.00299072265625,0.00494384765625,0.00640869140625,0.01861572265625,0.00738525390625,1.0,98105
0.0,C0,V31_FRESH,0.1,0.0,0.0,0.008378377767034937,0.008104387979969728,8,0.004882812500000002,0.014383951822916666,0.005594889322916666,0.006462944878472221,0.008382161458333336,0.0068359375,0.01812744140625,0.009033203125,0.01275634765625,0.013916015625,0.0,98106
4.0,C1,V31_FRESH,0.1,0.018394588667745126,0.015162271869821789,0.02677296643478006,0.023266659849791517,8,0.004882812500000002,0.01324462890625,0.0013292100694444443,0.012830946180555556,0.006944444444444444,0.0068359375,0.02392578125,0.00396728515625,0.0107421875,0.01373291015625,0.0,98106
8.0,C2,V31_FRESH,0.1,0.007844464889008003,-0.002696981556007336,0.01622284265604294,0.005407406423962392,8,0.004882812500000002,0.00515407986111111,0.004509819878472222,0.004801432291666668,0.009446885850694444,0.0068359375,0.01080322265625,0.01470947265625,0.01422119140625,0.01861572265625,0.0,98106
12.0,C3,V31_FRESH,0.1,0.014552575791158746,0.004430446768074581,0.022930953558193683,0.012534834748044309,8,0.004882812500000002,0.01421440972222222,0.004347059461805556,0.010009765624999998,0.01435004340277778,0.0068359375,0.02105712890625,0.017333984375,0.021728515625,0.03179931640625,0.0,98106
20.0,C4,V31_FRESH,0.1,0.015440240101947693,0.005050873172483409,0.02381861786898263,0.013155261152453137,8,0.004882812500000002,0.010260687934027776,0.010423448350694444,0.0013292100694444454,0.020073784722222217,0.0068359375,0.00933837890625,0.019287109375,0.00445556640625,0.02593994140625,0.0,98106
16.0,C5,V31_FRESH,0.55,-0.012542049123201903,-0.013492757310741189,-0.004163671356166966,-0.005388369330771461,8,0.004882812500000002,0.0073310004340277814,0.0034722222222222207,0.00418429904513889,0.00299072265625,0.0068359375,0.0126953125,0.00738525390625,0.009521484375,0.006103515625,0.0,98106
12.0,C6,V31_FRESH,0.1,-0.004254629429938274,-0.004341559289224556,0.004123748337096663,0.0037628286907451717,8,0.004882812500000002,0.00646294487847222,0.006951226128472221,0.006300184461805556,0.008199055989583332,0.0068359375,0.01422119140625,0.01025390625,0.015869140625,0.01324462890625,0.5,98106
12.0,C7,V31_FRESH,0.1,0.005810178247021149,0.006046275464036898,0.014188556014056086,0.014150663444006626,8,0.004882812500000002,0.003472222222222223,0.0016886393229166672,0.0021158854166666687,0.0033365885416666687,0.0068359375,0.009033203125,0.006591796875,0.012939453125,0.01422119140625,1.0,98106
0.0,C0,AFFINE_BOOLEAN_V1,0.1,0.0,0.0,0.008022527403983853,-0.01604441344816093,8,0.0016547309027777775,0.002556694878472223,0.0027669270833333343,0.004964192708333332,0.00445556640625,0.00152587890625,0.0078125,0.010498046875,0.00885009765625,0.00494384765625,0.0,99101
4.0,C1,AFFINE_BOOLEAN_V1,0.1,-0.021285312661167823,0.0057434339562464545,-0.013262785257183971,-0.010300979491914474,8,0.0016547309027777775,0.007059733072916666,0.006212022569444446,0.008958604600694444,0.003689236111111112,0.00152587890625,0.007080078125,0.0107421875,0.01177978515625,0.00689697265625,0.0,99101
8.0,C2,AFFINE_BOOLEAN_V1,0.1,-0.012278235522768258,0.010900389850484051,-0.004255708118784404,-0.005144023597676877,8,0.0016547309027777775,0.0036417643229166665,0.00417751736111111,0.0031467013888888894,0.003261990017361111,0.00152587890625,0.00396728515625,0.009765625,0.00543212890625,0.00689697265625,0.0,99101
12.0,C3,AFFINE_BOOLEAN_V1,0.1,-0.01405372637439253,0.03142930067715213,-0.006031198970408678,0.015384887228991201,8,0.0016547309027777775,0.005377875434027776,0.006191677517361112,0.004340277777777778,0.004401312934027778,0.00152587890625,0.00494384765625,0.005126953125,0.00250244140625,0.00885009765625,0.0,99101
20.0,C4,AFFINE_BOOLEAN_V1,0.1,-0.02544444972514911,0.015094426235436394,-0.017421922321165254,-0.0009499872127245353,8,0.0016547309027777775,0.0038791232638888886,0.006896972656249999,0.00809054904513889,0.003261990017361111,0.00152587890625,0.00543212890625,0.009765625,0.00738525390625,0.00885009765625,0.0,99101
16.0,C5,AFFINE_BOOLEAN_V1,0.55,-0.019231768690817254,0.007232003135880211,-0.0112092412868334,-0.008812410312280718,8,0.0016547309027777775,0.005967881944444445,0.005316840277777778,0.006184895833333334,0.003316243489583334,0.00152587890625,0.009521484375,0.010498046875,0.00885009765625,0.0068359375,0.0,99101
12.0,C6,AFFINE_BOOLEAN_V1,0.1,0.004359278849645912,-0.002828897698347408,0.012381806253629765,-0.018873311146508337,8,0.0016547309027777775,0.0029907226562499996,0.00494384765625,0.0025024414062500004,0.007514105902777779,0.00152587890625,0.00445556640625,0.020263671875,0.00634765625,0.00689697265625,0.5,99101
12.0,C7,AFFINE_BOOLEAN_V1,0.1,-0.011176487655346245,0.010172141097499997,-0.0031539602513623918,-0.005872272350660932,8,0.0016547309027777775,0.003316243489583334,0.0012207031250000004,0.006300184461805558,0.0014716254340277778,0.00152587890625,0.003662109375,0.003173828125,0.0087890625,0.00299072265625,1.0,99101
0.0,C0,AFFINE_BOOLEAN_V1,0.1,0.0,0.0,0.0016217842220042702,1.2113526306256191e-17,8,0.00543212890625,0.010606553819444446,0.002882215711805556,0.01123725043402778,0.004069010416666666,0.00689697265625,0.00250244140625,0.00543212890625,0.00543212890625,0.00543212890625,0.0,99102
4.0,C1,AFFINE_BOOLEAN_V1,0.1,-0.010924556535181278,-0.03312350487040913,-0.009302772313177008,-0.03312350487040912,8,0.00543212890625,0.007161458333333333,0.00933837890625,0.01066080729166667,0.00632052951388889,0.00689697265625,0.0048828125,0.01220703125,0.00738525390625,0.00250244140625,0.0,99102
8.0,C2,AFFINE_BOOLEAN_V1,0.1,0.015665413708711353,-0.003811586128248179,0.017287197930715623,-0.003811586128248167,8,0.00543212890625,0.004998101128472222,0.003316243489583333,0.011474609375,0.009223090277777778,0.00689697265625,0.004150390625,0.00738525390625,0.00982666015625,0.006591796875,0.0,99102
12.0,C3,AFFINE_BOOLEAN_V1,0.1,-0.009452884430950353,-0.012804433517727908,-0.007831100208946083,-0.012804433517727896,8,0.00543212890625,0.003533257378472222,0.006245930989583332,0.00661892361111111,0.004448784722222223,0.00689697265625,0.00445556640625,0.009033203125,0.0078125,0.00494384765625,0.0,99102
20.0,C4,AFFINE_BOOLEAN_V1,0.1,-0.0255892821360337,-0.005621001541148439,-0.02396749791402943,-0.005621001541148427,8,0.00543212890625,0.00250244140625,0.011074490017361112,0.01605902777777778,0.004075792100694443,0.00689697265625,0.002197265625,0.011962890625,0.00933837890625,0.00885009765625,0.0,99102
16.0,C5,AFFINE_BOOLEAN_V1,0.55,-0.010686342406159167,-0.007569638376116643,-0.009064558184154897,-0.007569638376116631,8,0.00543212890625,0.0012003580729166678,0.006842719184027778,0.006103515625,0.00445556640625,0.00689697265625,0.002685546875,0.0126953125,0.00152587890625,0.00592041015625,0.0,99102
12.0,C6,AFFINE_BOOLEAN_V1,0.1,0.020662129848980238,0.0024006837080328245,0.02228391407098451,0.0024006837080328366,8,0.00543212890625,0.010640462239583334,0.0017428927951388892,0.005316840277777778,0.005913628472222221,0.00689697265625,0.0078125,0.0078125,0.00640869140625,0.00836181640625,0.5,99102
12.0,C7,AFFINE_BOOLEAN_V1,0.1,0.007667344180727299,-0.008136877306605566,0.00928912840273157,-0.008136877306605554,8,0.00543212890625,0.001146104600694444,0.0026109483506944436,0.0018513997395833343,0.003696017795138888,0.00689697265625,0.00201416015625,0.00933837890625,0.00592041015625,0.00592041015625,1.0,99102
